Object ID,Name of site,Place,Region,Site description,Campsite category,Number of powered sites,Number of unpowered sites,Bookable,Free,Facilities,Activities,Dogs alllowed,Landscape type,Access by,Has alerts,URL to thumbnail,URL to webpage,Description of place,x,y,DOC system ID,Date loaded to GIS,GlobalID,x2,y2
156512,Clements Clearing Campsite,Kaimanawa Forest Park,Central North Island,A basic but large campsite in the Tūrangi/Taupō area. Good place to base yourself to explore the area.,Basic,0,25,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply",,Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,"Alpine, Forest","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/df6386243d394c8a8b9e2da93ac10424.jpg,https://www.doc.govt.nz/link/66db0e78f54846798b7f9ecd9d2d4d73.aspx,Located in Kaimanawa Forest Park,1875985,5684231,100066035,6/25/2024 8:30:20 AM,eec83034-c27b-4810-9d7e-62a301743da4,1875985,5684231
156513,Te Iringa Campsite,Kaimanawa Forest Park,Central North Island,"This site is at the start of the Te Iringa Track which is popular for hunting, tramping and mountain biking.",Basic,0,4,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Toilets - non-flush, Toilets","Hunting, Mountain biking, Walking and tramping",Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/08581e8547524ce380353e49cebda21d.jpg,https://www.doc.govt.nz/link/50b74a52917c453fb385af854322157d.aspx,Located in Kaimanawa Forest Park,1879075,5683040,100043663,6/25/2024 8:30:29 AM,578fb0fd-0cd5-418f-bab6-8516307c0638,1879075,5683040
156514,Kerr Bay Campsite,Nelson Lakes National Park,Nelson/Tasman,"Kerr Bay Campsite is next to Lake Rotoiti, surrounded by beech forest, with a boat launching ramp nearby.",Serviced,10,15,Yes,,"Boat launching, Cookers/electric stove, Dump station, Non-powered/tent sites, Powered sites, Shelter for cooking, Shower - hot, Toilets - flush, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets","Bird and wildlife watching, Boating, Fishing, Kayaking and canoeing, Mountain biking, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/21771ebc7ec540ef8220e1a8ed9ba59c.jpg,https://www.doc.govt.nz/link/d734a70dd6584ff995102388fb169168.aspx,Located in Nelson Lakes National Park,1587370,5371777,100065345,6/25/2024 8:30:30 AM,13b643cc-f7f3-4870-9d7f-7b865a3b15d8,1587370,5371777
156515,Putangirua Pinnacles Campsite,Putangirua Pinnacles Scenic Reserve,Wairarapa,"Sited beside the Putangirua Stream with views of Cook Strait and a pebbly beach across the road. Walk from here to the impressive Putangirua Pinnacles, or drive to the seal colony near Cape Palliser lighthouse.",Standard,0,50,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Toilets - flush, Water from stream, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/91014d00268849d88c0b6c238b2d3b1a.jpg,https://www.doc.govt.nz/link/ad62eed2a0ee4403a5c538be4083c96a.aspx,Located in Putangirua Pinnacles Scenic Reserve,1785772,5408882,100044559,6/25/2024 8:30:30 AM,2aaecaa7-6ff0-438d-a2c7-82167fd96e81,1785772,5408882
156516,Harvey Bay Campsite,Pelorus Sound/Te Hoiere and Kenepuru Sound area,Marlborough,"A large, flat, sheltered camping area that makes a great base for exploring Tennyson Inlet and the nearby area by boat, on foot or by mountain bike. ",Standard,0,25,No,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Boating, Mountain biking, Picnicking, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e7e05d63bb6f4908ba37b61b4f32b4ab.jpg,https://www.doc.govt.nz/link/0c101a92067848d1a2de410cd1c0e50b.aspx,Located in Pelorus Sound/Te Hoiere and Kenepuru Sound area,1662394,5447790,100044095,6/25/2024 8:30:30 AM,f6742b76-6c31-4cc1-8e5a-742fcf3c4638,1662394,5447790
156517,Tawa Bay Campsite,Pelorus Sound/Te Hoiere and Kenepuru Sound area,Marlborough,Scenic campsite suitable for kayaks and boating activities.,Backcountry,0,4,No,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Boating, Kayaking and canoeing",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,Boat,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/74bc42824c2546f7b1b521fd458a9f7b.jpg,https://www.doc.govt.nz/link/f3468c7772c44dd38fb98e493a05af1a.aspx,Located in Pelorus Sound/Te Hoiere and Kenepuru Sound area,1669199,5452919,100066486,6/25/2024 8:30:31 AM,3d5d8c50-9cb4-4f24-b471-b71743573041,1669199,5452919
156518,Whites Bay Campsite,Blenheim area,Marlborough,"This camp has lovely scenery and is close to a surf beach at Pukatea/Whites Bay. Go walking, fishing, swimming or kayaking from here.",Standard,0,67,Yes,,"Non-powered/tent sites, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Fishing, Kayaking and canoeing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c79df7fbbf024e889677cf04293a496b.jpg,https://www.doc.govt.nz/link/39913b0bd1774e7cbd3c52dcf8975bc4.aspx,Located in Blenheim area,1688387,5418196,100065343,6/25/2024 8:30:32 AM,ef748887-268a-441d-b52c-e1e66e60c18b,1688387,5418196
156519,Kakaho Campsite,Pureora Forest Park,Waikato,Beside Kakaho Stream and dense podocarp forest. Swim in the stream or walk the Rimu Track through thick forest before climbing to a stunning viewpoint.,Standard,0,25,Yes,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply",,Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/18fb2a510b8e401c8662627bd54f15ab.jpg,https://www.doc.govt.nz/link/844242dfaf16481da735282960651795.aspx,Located in Pureora Forest Park,1836778,5727610,100031354,6/25/2024 8:30:32 AM,4fa08b2e-20b0-483e-a011-1a5015393141,1836778,5727610
156520,Arohena Campsite,Lake Arapuni Conservation Area,Waikato,"This campsite on the western shores of Waikato River is perfect for swimming, picnicking, fishing and water sports.",Standard,0,50,Yes,,"BBQ, Boat launching, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply","Fishing, Kayaking and canoeing, Picnicking, Swimming",Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,Rivers and lakes,"Boat, Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/83b3df8c3e924e55ae3abf9e41ab2709.jpg,https://www.doc.govt.nz/link/e0f6e889c1914112abd4c159327db0e3.aspx,Located in Lake Arapuni Conservation Area,1832829,5772402,100038806,6/25/2024 8:30:32 AM,ac15f058-25a2-4fd1-95fb-a7df692430df,1832829,5772402
156521,Klondyke Corner Campsite,Arthur's Pass National Park,Canterbury,"This large, open campsite is near the junction of the Bealey and Waimakariri Rivers. it is popular in the summer.",Standard,0,40,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/528f3f8ecf7e48c3907d032c998be696.aspx,https://www.doc.govt.nz/link/85fde6766e364d50916d8bd9a296c4c7.aspx,Located in Arthur's Pass National Park,1485015,5237994,100065052,6/25/2024 8:30:33 AM,47b06274-c944-47cd-bbcb-62f3aff7d45c,1485015,5237994
